Institution_ID,Institution_Type,Country,Employee_Count,Annual_Revenue_M,IT_Spend_Percent_Revenue,AI_Budget_Allocated,AI_Budget_Percent_Revenue,Budget_Growth_YoY,Has_Dedicated_AI_Team,Technical_Readiness_Score,API_Integration_Score,Data_Lake_Exists,Legacy_System_Score,Data_Maturity_Index,Governance_Framework_Exists,Governance_Maturity,AI_Governance_Committee,Model_Risk_Management_Maturity,Compliance_Incidents_12M,Risk_Culture_Score,Data_Privacy_Compliant,Cybersecurity_Level,Leadership_Commitment,Training_Investment_Per_Employee,Vendor_Strategy,Deployment_Mode,Existing_AI_Projects,Use_Case_Breadth,LLM_Adoption_Status
11120,Fintech,European Union,382,556.11,3.35,2.95,0.405,3.71,0,9,0,0,79,0.023,1,1,0,4,1,1,1,1,1,463.1,Vendor,PrivateCloud,0,0,0
11121,Investment Bank,Other,1041,1356.36,5.26,12.58,0.887,18.48,0,77,47,1,46,0.602,0,1,0,4,0,1,0,2,4,337.38,Vendor,PrivateCloud,4,2,0
11122,Bank,United States,1133,2628.98,5.32,37.19,1.247,-6.78,0,74,68,1,35,0.853,0,3,0,2,0,3,0,4,2,529.35,Vendor,On-Prem,10,7,1
11123,Fintech,United States,2259,349.41,5.87,3.07,0.924,5.48,0,33,27,1,62,0.419,1,1,0,1,0,1,1,3,5,1022.56,Hybrid,PrivateCloud,1,3,1
11124,Asset Manager,European Union,1574,351.9,3.93,0.76,0.291,7.05,0,73,41,1,49,0.462,0,4,1,2,0,4,0,3,5,1814.11,In-house,PrivateCloud,2,5,0
11125,Bank,United Kingdom,2472,1620.88,8.14,15.05,1.193,19.95,0,80,60,0,40,0.649,0,2,0,4,0,3,1,4,4,1269.06,In-house,PrivateCloud,7,5,0
11126,Investment Bank,European Union,809,1512.42,2.99,9.72,0.639,7.1,0,57,28,0,52,0.303,1,4,1,5,0,2,1,3,3,922.61,Hybrid,PrivateCloud,5,2,0
11127,Payment Processor,European Union,6413,3893.15,2.86,19.99,0.454,6.82,0,38,9,0,51,0.109,0,4,1,5,0,4,1,4,4,456.49,Vendor,PrivateCloud,2,0,0
11128,Fintech,United Kingdom,756,413.74,2.21,0.0,0.0,13.26,0,26,0,0,92,0.108,1,5,0,3,0,5,1,1,5,867.34,Vendor,PrivateCloud,2,1,0
11129,Fintech,United States,757,1300.44,4.97,9.76,0.765,0.98,1,70,44,0,46,0.678,0,1,1,1,0,1,0,3,2,743.94,Hybrid,On-Prem,6,2,0
11130,Brokerage/Dealer,United Kingdom,5851,1998.89,5.82,22.14,1.026,2.74,0,49,42,0,26,0.641,1,5,0,2,0,4,1,4,4,1230.9,In-house,PrivateCloud,4,1,0
11131,Investment Bank,United States,2004,415.03,3.05,9.02,1.971,12.95,1,84,47,0,66,0.756,1,4,0,4,0,5,1,3,5,1441.01,Hybrid,PrivateCloud,4,1,1
11132,Bank,Other,316,204.89,5.14,0.0,0.0,0.61,0,58,29,1,53,0.479,1,4,1,3,0,4,0,2,2,234.29,Vendor,PrivateCloud,3,1,0
11133,Bank,Other,1439,726.35,4.32,17.49,1.776,11.33,0,42,39,1,51,0.811,1,5,1,5,0,5,0,2,5,335.97,Vendor,PublicCloud,3,2,0
11134,Asset Manager,Other,532,431.43,3.67,1.42,0.307,7.58,0,54,42,0,61,0.187,0,3,1,1,0,2,1,4,1,565.46,Vendor,On-Prem,1,0,0
11135,Insurance,United States,2920,880.81,3.67,9.7,1.18,3.67,1,63,38,1,60,0.271,0,3,1,1,0,5,1,5,4,818.67,In-house,PublicCloud,0,1,0
11136,Bank,United States,2281,1102.65,5.14,13.31,0.88,11.1,0,59,49,0,52,0.2,0,4,1,3,0,2,1,3,4,1836.69,Vendor,On-Prem,4,2,0
11137,Bank,European Union,1035,327.0,4.64,2.92,0.944,6.15,0,59,42,0,57,0.137,0,2,1,2,0,2,1,2,1,971.03,Vendor,PublicCloud,6,2,0
11138,Brokerage/Dealer,European Union,301,184.35,0.86,0.0,0.0,1.96,0,45,26,1,66,0.165,0,1,0,1,0,1,1,1,1,297.74,Hybrid,PrivateCloud,1,1,0
11139,Asset Manager,Other,1187,924.93,4.61,5.2,0.59,8.66,1,54,29,1,61,0.578,1,4,0,3,0,5,1,1,4,1362.84,Vendor,PublicCloud,3,1,0
11140,RegTech,Other,965,656.92,3.51,0.34,0.054,0.41,0,65,43,0,38,0.428,0,2,0,2,0,4,1,2,1,517.51,Vendor,On-Prem,5,1,0
11141,Investment Bank,United States,2642,710.0,7.56,10.15,1.422,8.17,1,88,66,0,24,0.938,1,5,1,5,2,5,0,5,5,801.09,In-house,PrivateCloud,8,5,1
11142,Credit Union,Other,590,613.93,4.65,8.86,1.972,11.16,1,55,41,1,43,0.939,0,5,1,3,0,2,0,5,4,869.84,Vendor,On-Prem,4,6,1
11143,Bank,United States,2527,1454.38,6.2,0.0,0.0,5.78,0,57,41,0,36,0.542,1,5,1,5,0,5,1,3,4,433.13,Vendor,PrivateCloud,6,0,0
11144,Investment Bank,Other,5652,5696.08,2.12,45.9,0.942,8.38,0,64,39,1,49,0.307,0,5,0,5,0,5,0,1,5,558.54,Hybrid,PrivateCloud,6,2,1
11145,Bank,European Union,844,852.7,1.5,0.6,0.052,-4.25,0,41,46,0,55,0.286,0,2,0,1,0,1,0,4,2,895.29,Vendor,PrivateCloud,3,2,0
11146,Asset Manager,European Union,2072,824.42,5.29,0.34,0.041,6.02,1,56,21,1,51,0.773,1,3,1,3,0,2,0,5,2,989.34,In-house,On-Prem,3,2,0
11147,Fintech,European Union,1270,968.47,4.13,8.89,0.92,1.88,1,58,36,1,66,0.136,0,3,1,3,0,4,1,1,1,586.13,Vendor,PrivateCloud,4,1,0
11148,Bank,Other,3609,3100.2,6.62,11.17,0.374,21.05,1,74,47,0,34,0.891,1,2,0,4,0,5,0,5,3,918.1,In-house,PublicCloud,6,3,0
11149,Brokerage/Dealer,European Union,715,324.32,4.33,1.8,0.572,5.5,0,42,38,0,58,0.552,0,1,0,2,0,1,1,1,2,583.61,Vendor,On-Prem,2,3,0
11150,Brokerage/Dealer,Other,2661,2114.06,3.29,10.54,0.665,17.64,1,59,50,1,56,0.683,1,3,0,3,4,3,1,1,4,297.18,Vendor,PrivateCloud,2,2,0
11151,Bank,United States,492,65.55,5.38,0.45,0.663,14.05,0,68,50,1,28,0.652,0,1,1,1,0,1,0,4,1,680.57,Vendor,On-Prem,5,0,0
11152,Asset Manager,Other,400,295.77,3.11,0.18,0.06,4.33,1,53,11,0,70,0.14,0,2,0,4,2,5,1,2,1,540.55,Vendor,On-Prem,1,0,0
11153,Fintech,Other,1009,2110.71,4.5,0.0,0.0,2.63,1,55,0,0,83,0.07,0,3,0,4,0,2,1,3,1,298.38,Hybrid,PublicCloud,1,1,0
11154,Fintech,European Union,1247,1634.93,3.45,0.0,0.0,18.44,0,42,27,0,70,0.062,0,3,0,2,0,4,1,1,2,644.43,In-house,PrivateCloud,2,1,0
11155,Payment Processor,Other,1687,766.78,6.76,16.45,1.873,7.82,1,91,100,1,3,0.942,1,5,1,4,0,4,1,5,3,943.84,In-house,PublicCloud,21,7,1
11156,Bank,United States,1819,2634.81,3.8,46.75,1.79,18.7,1,61,46,1,47,0.831,1,5,1,5,0,3,0,4,5,2092.33,Hybrid,On-Prem,5,7,0
11157,Credit Union,Other,1302,468.95,4.3,6.32,1.522,13.44,1,84,51,1,62,0.583,1,3,0,4,0,4,0,1,5,1439.38,In-house,On-Prem,4,2,1
11158,Bank,United States,2386,693.01,4.64,8.84,1.239,6.02,0,57,29,0,39,0.489,1,4,1,5,2,5,1,3,5,3567.87,Hybrid,PrivateCloud,3,1,0
11159,Asset Manager,European Union,634,281.01,3.35,3.45,0.718,8.85,0,45,40,0,62,0.466,1,3,1,4,0,1,1,1,5,558.01,Vendor,On-Prem,1,0,0
11160,Asset Manager,European Union,524,2467.98,5.26,11.42,0.426,0.77,1,54,26,1,55,0.219,1,2,0,4,1,1,0,4,2,1383.8,Hybrid,On-Prem,3,0,0
11161,Bank,European Union,637,131.35,2.35,0.58,0.482,7.8,1,54,43,1,58,0.181,1,2,0,3,1,2,1,3,1,1165.58,Vendor,On-Prem,0,2,0
11162,Bank,European Union,3071,1300.51,5.09,6.18,0.46,14.57,0,39,19,1,32,0.463,1,4,1,5,0,5,0,1,2,874.59,Vendor,On-Prem,4,1,0
11163,Payment Processor,United Kingdom,771,1958.14,4.64,12.67,0.489,13.85,0,45,27,0,70,0.734,0,3,0,5,0,5,1,3,5,1321.7,Hybrid,On-Prem,3,3,0
11164,Investment Bank,Other,4134,2887.08,6.21,34.9,1.167,-7.29,1,75,90,1,34,0.744,1,5,1,3,1,5,0,5,1,1710.15,In-house,PrivateCloud,2,0,1
11165,Bank,United States,931,5004.63,5.65,43.7,0.938,9.74,1,73,59,1,40,0.502,1,4,1,2,0,3,1,1,3,2342.44,Vendor,On-Prem,5,1,0
11166,Insurance,European Union,1354,8804.71,4.76,124.97,1.586,1.36,0,66,59,0,50,0.893,1,5,0,4,0,4,1,2,3,637.53,In-house,PrivateCloud,8,2,1
11167,Bank,Other,2270,2115.59,3.89,16.89,0.935,10.38,1,80,62,1,47,0.678,1,4,0,4,0,2,1,5,1,430.32,In-house,On-Prem,7,2,1
11168,Bank,Other,4402,1931.75,3.27,17.85,0.743,14.01,1,52,24,1,59,0.362,1,5,1,4,0,4,1,5,5,3773.74,Hybrid,PublicCloud,2,1,0
11169,Fintech,European Union,9453,1094.82,6.14,6.34,0.574,24.28,0,53,45,0,48,0.622,1,4,0,2,0,4,1,5,5,498.88,In-house,On-Prem,4,2,0
11170,Bank,European Union,501,165.72,5.51,0.44,0.283,-3.49,1,78,45,0,75,0.695,0,3,0,2,0,3,0,3,1,2669.17,Vendor,On-Prem,4,2,1
11171,Payment Processor,United Kingdom,1005,1350.53,5.5,9.34,0.658,4.09,1,46,25,0,76,0.321,1,2,0,4,0,2,1,1,2,1146.07,Hybrid,PrivateCloud,3,0,0
11172,Investment Bank,United Kingdom,1594,524.71,3.3,2.83,0.481,15.48,1,43,3,0,88,0.414,0,4,0,3,1,3,1,2,4,472.23,Vendor,On-Prem,1,0,0
11173,Credit Union,United Kingdom,1212,838.85,4.5,4.83,0.723,16.58,1,67,27,0,83,0.287,1,3,0,3,0,4,0,3,1,693.66,Hybrid,PublicCloud,3,4,0
11174,Asset Manager,European Union,2770,1531.49,5.29,26.67,2.02,5.33,0,75,55,1,42,0.869,1,3,1,4,0,3,1,4,2,812.68,In-house,On-Prem,13,4,1
11175,Credit Union,European Union,3743,1344.81,5.85,13.82,1.016,17.15,0,88,75,1,36,0.829,1,4,1,2,0,3,1,5,3,1338.23,Vendor,PublicCloud,9,6,1
11176,Insurance,European Union,1604,230.23,4.0,0.88,0.399,10.23,1,51,37,0,52,0.455,1,2,0,4,0,2,1,3,3,654.58,Vendor,PrivateCloud,2,1,0
11177,Asset Manager,European Union,610,209.08,5.07,4.04,1.832,12.02,0,65,51,1,55,0.641,0,2,0,2,0,3,1,4,5,777.58,In-house,PrivateCloud,4,7,1
11178,Hedge Fund,European Union,1471,128.3,2.82,0.75,0.777,8.76,0,58,30,0,62,0.627,1,1,0,3,0,2,1,2,2,709.72,Hybrid,PublicCloud,2,2,0
11179,Asset Manager,United States,1613,3494.69,5.94,6.08,0.21,14.08,1,70,66,0,35,0.751,1,3,0,1,1,3,1,4,3,788.74,Vendor,PrivateCloud,3,2,0
11180,Bank,Other,494,632.48,1.6,2.67,0.453,5.18,1,64,9,0,76,0.17,0,2,1,1,3,3,0,3,4,739.2,Hybrid,PrivateCloud,1,2,0
11181,Investment Bank,Other,3061,259.41,4.19,0.0,0.0,9.55,1,48,14,0,77,0.228,1,1,0,2,5,1,1,1,3,1074.27,Hybrid,On-Prem,2,1,0
11182,Brokerage/Dealer,United States,1131,102.46,3.42,0.5,0.512,10.98,0,52,14,0,85,0.11,0,1,0,1,4,1,1,2,4,728.23,Vendor,PublicCloud,1,1,0
11183,Payment Processor,European Union,987,551.4,2.52,0.0,0.0,2.23,0,60,36,0,72,0.163,0,3,0,1,0,2,1,5,1,387.32,Hybrid,PublicCloud,6,1,0
11184,Insurance,European Union,4468,3073.15,4.38,46.08,1.969,18.3,1,80,65,1,39,0.879,0,2,0,4,0,2,0,5,3,1698.79,In-house,On-Prem,11,5,0
11185,Asset Manager,United States,4620,10235.58,5.55,137.19,1.428,10.79,0,57,39,0,33,0.476,1,5,1,5,1,1,0,2,4,1362.51,In-house,PublicCloud,2,1,0
11186,RegTech,United Kingdom,659,498.09,3.93,5.6,1.1,8.38,0,55,54,1,58,0.54,1,2,0,5,0,3,1,3,5,848.81,Hybrid,On-Prem,2,3,0
11187,Bank,United States,1586,480.46,4.77,4.57,1.02,0.31,1,73,41,0,37,0.416,1,1,1,1,0,4,1,5,2,466.55,In-house,PublicCloud,1,4,0
11188,Asset Manager,European Union,2265,1032.64,5.69,17.24,1.546,14.53,1,92,77,1,22,0.923,0,2,1,2,0,3,1,5,4,677.65,In-house,On-Prem,14,5,1
11189,Bank,United States,712,3590.89,5.26,76.07,2.021,1.72,0,95,68,1,25,0.866,1,5,0,5,0,5,1,5,4,1436.99,Hybrid,PrivateCloud,14,2,1
11190,Asset Manager,United States,1267,432.08,4.95,4.03,1.331,11.65,1,84,62,1,33,0.904,0,2,1,4,3,2,0,4,5,1394.79,Hybrid,PrivateCloud,3,1,0
11191,Asset Manager,United States,1113,400.24,5.47,1.75,0.395,7.98,1,53,13,0,70,0.207,1,3,0,2,2,4,0,1,2,791.53,Vendor,PublicCloud,1,1,0
11192,Bank,United States,1952,543.58,3.77,3.87,0.863,-8.3,0,90,68,1,68,0.439,0,1,0,1,2,1,1,1,1,814.39,Vendor,PublicCloud,2,3,0
11193,Bank,European Union,1018,276.92,4.94,0.21,0.072,5.83,0,65,46,0,67,0.516,1,2,1,3,0,3,1,2,2,1147.2,Vendor,On-Prem,0,1,0
11194,Asset Manager,European Union,850,292.78,2.45,0.0,0.0,11.33,0,45,3,1,75,0.261,0,1,1,1,2,1,0,1,3,912.15,Vendor,PublicCloud,1,1,0
11195,Bank,United States,213,223.96,2.28,1.39,0.634,11.59,0,56,43,1,64,0.425,1,2,1,1,1,2,0,5,2,1130.13,Vendor,PrivateCloud,2,7,0
11196,Bank,European Union,2353,3172.08,4.25,26.95,1.018,9.06,1,85,67,0,51,0.741,0,4,0,4,1,4,0,3,5,398.84,Vendor,On-Prem,5,3,1
11197,Payment Processor,United Kingdom,5551,6766.59,6.13,83.6,1.081,3.76,1,80,73,1,32,0.954,1,4,1,4,0,4,0,5,5,2859.32,In-house,On-Prem,14,5,1
11198,Bank,United Kingdom,618,682.25,5.29,4.31,0.801,-0.28,0,78,51,0,53,0.345,0,3,0,4,0,3,1,5,3,397.79,Vendor,PublicCloud,3,2,0
11199,Fintech,United States,2886,863.49,4.94,8.62,0.724,3.81,0,55,43,0,58,0.306,1,1,0,2,3,2,1,4,1,969.22,Vendor,PrivateCloud,3,1,0
11200,Credit Union,European Union,1411,677.27,4.1,10.57,1.629,26.83,0,63,45,1,57,0.696,0,2,1,2,2,3,0,5,5,737.04,In-house,On-Prem,8,8,0
11201,Bank,United Kingdom,999,788.24,6.76,12.39,1.411,-0.06,1,65,53,0,47,0.853,1,2,0,5,0,4,1,5,2,2048.71,In-house,PrivateCloud,6,1,1
11202,Fintech,European Union,1444,299.22,6.67,0.5,0.197,-7.62,1,73,66,1,31,0.597,0,4,0,4,4,3,0,2,1,568.05,Vendor,On-Prem,10,1,0
11203,Asset Manager,United Kingdom,1041,1596.52,5.35,10.9,0.729,3.47,1,71,51,0,42,0.76,1,1,1,2,2,2,1,4,5,1103.55,Vendor,On-Prem,4,6,0
11204,Investment Bank,United States,4138,1365.76,5.67,23.58,1.935,27.98,1,39,18,1,57,0.608,1,4,1,4,6,2,0,3,5,926.03,Hybrid,PublicCloud,2,1,0
11205,Brokerage/Dealer,European Union,896,509.23,4.92,4.68,0.963,12.43,1,42,24,1,63,0.379,0,5,1,4,0,5,1,2,4,1117.81,Vendor,PrivateCloud,2,3,0
11206,Credit Union,European Union,816,1831.74,4.42,15.63,0.709,5.93,0,60,33,0,71,0.275,1,2,1,4,0,2,1,5,3,509.37,In-house,On-Prem,3,2,0
11207,Investment Bank,United Kingdom,3421,991.8,5.24,13.26,1.254,10.03,1,69,41,1,67,0.672,1,5,1,4,1,4,1,4,4,1303.42,Vendor,PrivateCloud,9,6,1
11208,Bank,United States,613,318.25,5.32,2.14,0.745,13.45,1,86,40,0,53,0.758,1,3,0,4,0,3,1,3,5,358.12,Hybrid,On-Prem,4,0,1
11209,Bank,European Union,383,543.59,4.99,3.12,0.55,18.04,1,68,27,0,60,0.112,0,1,0,1,0,1,1,1,3,623.74,Vendor,PrivateCloud,1,4,0
11210,Fintech,United States,487,170.04,3.19,0.0,0.0,0.59,0,55,29,1,53,0.171,0,1,0,1,0,1,0,2,2,453.12,Vendor,PublicCloud,3,0,0
11211,Bank,United Kingdom,636,612.03,4.62,5.46,0.938,16.97,0,54,26,1,64,0.406,0,1,0,1,3,3,1,1,3,2264.34,In-house,PublicCloud,5,1,0
11212,Investment Bank,United States,2311,1792.23,8.38,17.19,0.894,17.08,0,60,18,1,67,0.504,1,5,1,5,0,5,0,3,5,1612.42,Hybrid,PublicCloud,2,1,0
11213,Asset Manager,European Union,3222,2242.61,2.08,0.0,0.0,-1.36,1,28,37,0,100,0.196,0,2,1,1,1,3,1,1,1,684.87,Vendor,PrivateCloud,2,2,0
11214,Bank,United States,957,693.56,3.66,2.5,0.388,-6.62,0,47,19,0,62,0.173,1,4,1,4,1,3,0,1,1,211.88,Hybrid,PublicCloud,3,2,0
11215,Payment Processor,Other,1146,2850.97,6.31,17.8,0.526,12.47,0,46,33,0,64,0.514,0,1,0,1,0,1,1,3,1,133.76,Hybrid,PrivateCloud,5,3,1
11216,Bank,Other,374,187.28,3.93,0.52,0.277,19.5,0,32,6,0,82,0.207,0,3,1,4,1,5,1,5,5,413.88,Vendor,PublicCloud,0,4,0
11217,Fintech,Other,7420,4764.53,8.84,82.58,2.032,9.55,1,76,77,1,29,0.702,1,5,1,5,0,5,1,4,5,1457.49,In-house,PrivateCloud,12,5,1
11218,Asset Manager,Other,1430,96.91,4.53,1.05,1.095,9.92,1,64,81,1,29,0.906,1,3,1,4,0,4,1,4,2,544.08,Hybrid,On-Prem,9,4,1
11219,Fintech,Other,1098,757.79,2.92,7.12,0.859,3.65,1,49,24,0,48,0.43,0,2,0,2,0,2,1,3,1,546.13,In-house,PublicCloud,3,2,0
11220,Fintech,Other,1489,2499.83,1.72,12.8,0.576,-0.01,0,74,59,1,26,0.312,0,1,0,1,3,1,0,3,2,4135.58,Vendor,PublicCloud,2,0,0
11221,Bank,United States,655,452.09,4.58,3.55,0.553,6.03,0,89,60,0,52,0.732,1,1,0,1,0,2,1,4,1,538.65,Hybrid,PrivateCloud,7,5,0
11222,Fintech,United Kingdom,389,1021.97,6.7,15.5,1.432,8.37,1,79,53,1,51,0.889,1,2,1,5,0,4,1,2,5,1227.01,In-house,PublicCloud,2,6,0
11223,Investment Bank,United States,512,464.8,2.74,2.32,0.491,4.79,0,27,5,1,93,0.209,1,4,1,4,1,1,1,3,2,1048.15,Hybrid,PrivateCloud,2,1,0
11224,Credit Union,European Union,812,538.51,3.62,3.82,0.693,13.27,0,73,33,1,47,0.538,1,4,0,5,1,3,1,5,2,848.11,Hybrid,PrivateCloud,4,4,0
11225,Fintech,European Union,1275,303.42,4.98,0.0,0.0,1.65,0,33,18,0,75,0.155,1,4,0,3,1,2,1,1,3,277.27,Vendor,PrivateCloud,0,1,0
11226,Fintech,Other,1266,151.08,2.12,0.0,0.0,3.76,0,29,5,0,77,0.209,0,1,0,1,6,1,1,2,1,916.98,Hybrid,PublicCloud,4,3,0
11227,Investment Bank,Other,553,188.13,2.87,0.53,0.272,13.03,0,55,32,0,67,0.236,1,1,0,4,0,1,1,3,4,928.89,Vendor,On-Prem,5,4,0
11228,Credit Union,United States,483,475.97,2.36,0.0,0.0,6.9,0,12,26,0,63,0.027,1,4,1,4,0,4,1,1,1,410.22,Hybrid,PrivateCloud,0,2,0
11229,Bank,European Union,2179,6334.84,6.22,135.97,2.456,17.24,0,71,66,1,23,0.957,0,5,1,3,2,4,1,5,5,2287.29,In-house,On-Prem,14,3,1
11230,Fintech,United Kingdom,3966,844.88,4.15,1.75,0.209,5.08,0,54,13,1,59,0.089,1,5,1,5,0,4,1,1,1,500.96,In-house,PublicCloud,2,0,0
11231,Payment Processor,European Union,2478,254.47,4.68,1.32,0.624,5.02,0,64,54,1,52,0.369,0,1,0,2,1,1,0,5,2,631.71,Vendor,On-Prem,7,1,0
11232,Asset Manager,European Union,641,457.55,4.18,1.9,0.546,14.01,1,55,25,0,65,0.453,1,1,1,4,0,4,1,2,4,2513.4,Vendor,PrivateCloud,3,2,0
11233,Bank,Other,733,1962.81,5.25,9.84,0.699,12.51,1,60,50,1,42,0.673,1,2,0,4,0,4,0,2,5,840.27,Hybrid,PublicCloud,3,7,0
11234,Asset Manager,Other,834,409.64,5.12,4.22,0.953,6.32,0,61,46,0,37,0.355,0,3,1,3,1,4,1,2,4,545.13,Vendor,PrivateCloud,5,2,0
11235,Bank,United States,3077,819.57,5.7,7.92,0.87,2.88,1,73,81,1,9,0.686,0,3,1,3,0,3,0,5,4,1234.33,In-house,PrivateCloud,7,1,1
11236,Insurance,United Kingdom,581,464.22,2.55,0.72,0.162,3.97,1,70,35,0,54,0.26,0,1,0,1,5,3,0,4,1,1431.39,Vendor,On-Prem,2,2,0
11237,Insurance,European Union,2285,821.11,6.2,3.65,0.402,10.63,0,68,74,0,40,0.88,0,1,1,1,4,1,1,5,3,689.33,Vendor,PrivateCloud,1,5,0
11238,Brokerage/Dealer,European Union,578,10526.22,4.62,82.93,0.796,18.95,0,56,32,1,53,0.719,1,4,0,3,0,1,1,3,4,375.56,Vendor,On-Prem,1,4,0
11239,Fintech,European Union,552,356.58,3.11,0.0,0.0,0.55,0,60,28,0,75,0.105,1,3,0,2,0,4,1,1,1,169.07,Vendor,PrivateCloud,2,0,0
11240,Bank,Other,297,103.89,7.18,1.11,1.205,8.3,0,86,53,0,47,0.529,1,1,0,4,0,2,0,3,2,292.05,Vendor,On-Prem,6,6,0
11241,Bank,United Kingdom,848,424.04,5.08,5.55,1.001,14.39,1,66,39,0,69,0.653,0,1,0,3,0,2,1,1,5,1742.91,Vendor,PrivateCloud,2,1,1
11242,Brokerage/Dealer,European Union,876,241.15,4.2,0.52,0.192,-4.47,1,74,20,0,76,0.115,0,3,0,4,0,1,1,2,1,820.15,In-house,PrivateCloud,1,0,0
11243,Bank,Other,1190,869.64,4.32,13.32,1.553,12.29,1,91,50,1,75,0.92,0,3,1,4,0,2,1,5,5,552.97,Hybrid,PrivateCloud,3,4,1
11244,Fintech,European Union,1894,1680.33,6.72,3.38,0.197,8.84,1,75,59,0,33,0.289,0,1,1,3,4,1,0,3,1,725.89,Vendor,PrivateCloud,7,4,0
11245,Bank,European Union,281,105.09,4.57,1.43,1.28,13.09,1,69,30,0,65,0.774,0,2,0,3,0,4,1,1,4,788.21,In-house,PublicCloud,2,1,0
11246,Investment Bank,United States,2322,357.77,4.91,0.37,0.08,6.55,1,49,48,1,79,0.616,0,2,0,4,0,5,1,5,1,411.05,In-house,PrivateCloud,1,2,0
11247,Fintech,United States,7273,6726.94,5.49,91.64,1.252,10.34,1,91,69,1,33,0.743,0,3,1,3,0,3,0,5,5,1352.27,In-house,PublicCloud,10,3,0
11248,Fintech,United Kingdom,141,202.9,4.49,0.49,0.274,17.94,1,50,14,0,86,0.078,0,1,0,1,0,2,1,1,1,418.68,Hybrid,PrivateCloud,0,5,0
11249,Fintech,United Kingdom,1062,628.95,4.52,6.8,1.031,5.23,0,57,41,0,50,0.733,0,3,0,4,0,2,1,4,4,580.18,Vendor,On-Prem,5,1,0
11250,Brokerage/Dealer,United Kingdom,4382,2310.3,7.2,10.63,0.452,15.35,0,29,2,1,62,0.154,1,4,1,3,1,4,1,1,4,1050.65,Vendor,On-Prem,2,1,0
11251,Insurance,Other,7510,1864.13,5.57,44.83,2.099,5.81,1,100,75,1,22,0.976,1,2,1,3,0,3,0,5,5,3545.24,In-house,On-Prem,16,6,1
11252,Investment Bank,United States,465,534.81,3.22,2.95,0.401,14.25,0,41,12,0,59,0.142,1,3,0,2,0,3,1,1,3,295.96,Vendor,PrivateCloud,2,0,0
11253,Brokerage/Dealer,United States,494,983.12,2.12,5.91,0.648,5.63,1,71,33,1,49,0.753,0,4,1,3,1,3,1,4,5,1139.98,In-house,PublicCloud,1,4,0
11254,Brokerage/Dealer,United States,1961,678.46,3.26,10.18,1.263,11.19,1,52,63,1,41,0.321,0,2,0,2,7,2,1,4,4,2796.77,In-house,On-Prem,4,3,0
11255,Bank,European Union,748,610.15,3.84,2.23,0.392,11.79,0,70,49,0,38,0.646,0,3,0,2,0,2,0,4,2,845.32,Vendor,PublicCloud,3,2,0
11256,Hedge Fund,Other,692,240.39,2.31,0.6,0.187,5.77,1,75,61,1,37,0.622,1,1,0,1,3,1,0,2,2,941.42,Hybrid,PublicCloud,7,3,0
11257,Bank,Other,354,220.35,1.97,1.44,0.808,7.54,0,40,15,0,79,0.204,0,1,0,2,1,2,1,2,2,929.02,Vendor,PublicCloud,0,0,0
11258,Fintech,European Union,27185,16007.66,4.27,221.33,1.122,1.26,1,44,27,0,56,0.473,0,5,1,4,0,3,1,4,4,1291.67,In-house,PrivateCloud,8,2,0
11259,Brokerage/Dealer,United States,4439,2955.06,3.3,44.39,1.407,3.47,1,90,34,0,43,0.624,1,5,1,5,0,4,0,3,3,434.42,In-house,PrivateCloud,7,2,1
11260,Bank,United Kingdom,2474,584.09,5.41,19.86,2.771,26.56,0,100,79,1,31,0.95,1,5,0,5,1,5,1,5,4,1713.51,In-house,PublicCloud,5,4,1
11261,Bank,Other,1262,1517.81,3.75,3.14,0.241,3.3,0,82,38,0,56,0.411,1,2,1,2,1,1,1,4,2,474.33,Hybrid,PublicCloud,1,0,0
11262,Bank,European Union,2269,806.01,4.97,9.81,1.076,14.51,1,57,43,1,55,0.527,0,5,1,4,0,4,1,4,3,1088.36,In-house,On-Prem,9,2,0
11263,Asset Manager,United States,1061,490.45,4.36,1.7,0.397,9.5,1,77,74,1,28,0.664,1,1,0,1,0,1,1,1,1,599.97,Hybrid,PublicCloud,6,4,0
11264,Fintech,United Kingdom,2505,2901.11,5.73,4.3,0.167,-0.32,0,74,37,0,33,0.51,0,4,1,4,0,3,1,3,2,446.41,In-house,PrivateCloud,4,3,1
11265,Investment Bank,United States,2080,2228.1,5.8,26.52,1.183,14.85,0,34,38,0,70,0.668,0,3,1,3,0,2,0,1,2,702.39,In-house,PrivateCloud,3,2,0
11266,Brokerage/Dealer,European Union,3098,333.01,3.51,2.49,0.719,18.92,0,27,27,0,55,0.256,0,1,1,2,0,2,1,4,3,235.68,Vendor,PublicCloud,3,0,0
11267,Asset Manager,Other,1302,735.46,3.19,5.64,0.984,9.26,0,34,0,0,92,0.11,0,1,0,3,0,3,0,1,4,1187.18,In-house,PrivateCloud,5,1,0
11268,Bank,United States,663,975.64,2.16,0.0,0.0,9.27,0,36,17,0,71,0.067,1,3,0,4,0,2,1,2,1,1116.37,Vendor,PublicCloud,2,0,0
11269,Credit Union,European Union,4541,664.66,3.04,9.01,1.279,4.01,0,83,48,1,39,0.634,1,2,1,3,0,4,0,4,2,1157.97,In-house,PrivateCloud,8,3,1
11270,Bank,United States,1489,1537.21,4.59,8.47,0.479,0.66,0,79,43,0,65,0.353,1,3,1,5,3,1,1,3,2,623.93,Hybrid,PublicCloud,6,0,0
